2016 rank,City,State[5],2016 estimate,2010 Census,Change,2016 land area,2016 population density,Location
95,Garland,Texas,"234,943","226,876",+3.56%,57.0sqmi,147.6km2,"4,122/sqmi","1,592/km2",325435N 963749W / 32.9098N 96.6303W
96,Fremont,California,"233,136","214,089",+8.90%,77.5sqmi,200.7km2,"3,008/sqmi","1,161/km2",372940N 1215628W / 37.4945N 121.9412W
97,Baton Rouge[21],Louisiana,"227,715","229,493",0.77%,85.9sqmi,222.5km2,"2,651/sqmi","1,024/km2",302632N 910751W / 30.4422N 91.1309W
98,Richmond[16],Virginia,"223,170","204,214",+9.28%,59.8sqmi,154.9km2,"3,732/sqmi","1,441/km2",373153N 772834W / 37.5314N 77.4760W
99,Boise[22],Idaho,"223,154","205,671",+8.50%,82.1sqmi,212.6km2,"2,718/sqmi","1,049/km2",433601N 1161354W / 43.6002N 116.2317W
100,San Bernardino,California,"216,239","209,924",+3.01%,61.5sqmi,159.3km2,"3,516/sqmi","1,358/km2",340830N 1171737W / 34.1416N 117.2936W
101,Spokane,Washington,"215,973","208,916",+3.38%,68.7sqmi,177.9km2,"3,144/sqmi","1,214/km2",474001N 1172600W / 47.6669N 117.4333W
102,Des Moines,Iowa,"215,472","203,433",+5.92%,88.9sqmi,230.2km2,"2,424/sqmi",936/km2,413421N 933637W / 41.5726N 93.6102W
103,Modesto,California,"212,175","201,165",+5.47%,43.0sqmi,111.4km2,"4,934/sqmi","1,905/km2",373815N 1210011W / 37.6375N 121.0030W
104,Birmingham,Alabama,"212,157","212,237",0.04%,146.1sqmi,378.4km2,"1,452/sqmi",561/km2,333139N 864756W / 33.5274N 86.7990W
105,Tacoma,Washington,"211,277","198,397",+6.49%,49.7sqmi,128.7km2,"4,251/sqmi","1,641/km2",471508N 1222735W / 47.2522N 122.4598W
106,Fontana,California,"209,665","196,069",+6.93%,43.0sqmi,111.4km2,"4,876/sqmi","1,883/km2",340632N 1172746W / 34.1090N 117.4629W
107,Rochester,New York,"208,880","210,565",0.80%,35.8sqmi,92.7km2,"5,835/sqmi","2,253/km2",431012N 773701W / 43.1699N 77.6169W
108,Oxnard,California,"207,906","197,899",+5.06%,26.9sqmi,69.7km2,"7,729/sqmi","2,984/km2",341208N 1191217W / 34.2023N 119.2046W
109,Moreno Valley,California,"205,499","193,365",+6.28%,51.3sqmi,132.9km2,"4,006/sqmi","1,547/km2",335524N 1171221W / 33.9233N 117.2057W
110,Fayetteville,North Carolina,"204,759","200,564",+2.09%,147.7sqmi,382.5km2,"1,386/sqmi",535/km2,350458N 785825W / 35.0828N 78.9735W
111,Aurora,Illinois,"201,110","197,899",+1.62%,44.9sqmi,116.3km2,"4,479/sqmi","1,729/km2",414549N 881724W / 41.7635N 88.2901W
112,Glendale,California,"200,831","191,719",+4.75%,30.4sqmi,78.7km2,"6,606/sqmi","2,551/km2",341053N 1181445W / 34.1814N 118.2458W
113,Yonkers,New York,"200,807","195,976",+2.47%,18.0sqmi,46.6km2,"11,156/sqmi","4,307/km2",405645N 735203W / 40.9459N 73.8674W
114,Huntington Beach,California,"200,652","189,992",+5.61%,26.9sqmi,69.7km2,"7,459/sqmi","2,880/km2",334126N 1180033W / 33.6906N 118.0093W
115,Montgomery,Alabama,"200,022","205,764",2.79%,159.8sqmi,413.9km2,"1,252/sqmi",483/km2,322050N 861558W / 32.3472N 86.2661W
116,Amarillo,Texas,"199,582","190,695",+4.66%,101.4sqmi,262.6km2,"1,968/sqmi",760/km2,351200N 1014949W / 35.1999N 101.8302W
117,Little Rock,Arkansas,"198,541","193,524",+2.59%,118.7sqmi,307.4km2,"1,673/sqmi",646/km2,344331N 922131W / 34.7254N 92.3586W
118,Akron,Ohio,"197,633","199,110",0.74%,62.0sqmi,160.6km2,"3,188/sqmi","1,231/km2",410450N 813117W / 41.0805N 81.5214W
119,Columbus[23],Georgia,"197,485","189,885",+4.00%,216.4sqmi,560.5km2,913/sqmi,353/km2,323037N 845230W / 32.5102N 84.8749W
120,Augusta[24],Georgia,"197,081","195,844",+0.63%,302.5sqmi,783.5km2,652/sqmi,252/km2,332156N 820424W / 33.3655N 82.0734W
121,Grand Rapids,Michigan,"196,445","188,040",+4.47%,44.4sqmi,115.0km2,"4,424/sqmi","1,708/km2",425740N 853920W / 42.9612N 85.6556W
122,Shreveport,Louisiana,"194,920","199,311",2.20%,107.1sqmi,277.4km2,"1,820/sqmi",700/km2,322801N 934732W / 32.4669N 93.7922W
123,Salt Lake City,Utah,"193,744","186,440",+3.92%,111.2sqmi,288.0km2,"1,742/sqmi",673/km2,404637N 1115552W / 40.7769N 111.9310W
124,Huntsville,Alabama,"193,079","180,105",+7.20%,213.4sqmi,552.7km2,905/sqmi,349/km2,344156N 864023W / 34.6990N 86.6730W
125,Mobile,Alabama,"192,904","195,111",1.13%,139.4sqmi,361.0km2,"1,384/sqmi",534/km2,304006N 880601W / 30.6684N 88.1002W
